Basic Block,Assembly,Source Line,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,CPI Rate,CPU Frequency Ratio,Module,Function (Full),Source File,Module Path,Function Range Size,Start Address
0x3bce1,"vmovupsz  %zmm3, 0x100(%rsp)",356,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bce9,jmp 0x3bcf3 <Block 6>,356,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bceb,Block 5,[Unknown],0.010023,0.010023,0.0,0.010023,0.0,0.0,0.0,0.0,0.0,0,,1.000000,[Unknown],[Unknown],[Unknown],[Unknown],0x0,0x0
0x3bceb,"movb  $0x0, 0x160(%rsp)",340,0.010023,0.010023,0.0,0.010023,0.0,0.0,0.0,0.0,0.0,0,,1.000000,libpll.so.0.0.0,pll_core_update_sumtable_ii_20x20_avx512f,core_derivatives_avx512f.c,/home/hpc/pr63lo/di56sad2/rudolf/libpll/src/.libs/libpll.so.0.0.0,0x1c20,0x3bc30
0x3bcf3,Block 6,[Unknown],0.020046,0.020046,0.0,0.020046,0.0,0.0,0.0,0.0,0.0,0,,0.500000,[Unknown],[Unknown],[Unknown],[Unknown],0x0,0x0
0x3bcf3,"mov $0x40, %esi",361,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bcf8,"leal  (%rbx,%rbx,8), %edi",362,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bcfb,"shl $0x6, %edi",362,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bcfe,"mov %edi, %r15d",362,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd01,"shl $0x3, %r15",362,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd05,"mov %r15, %rdi",361,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
