#./experiments/benchmark.py ./test/obj/derivatives-aa-benchmark avx2
Itr,real,user,sys
0,7.2510,6.9360,0.0000
1,7.2730,6.9560,0.0000
2,7.1960,6.8840,0.0000
3,7.2110,6.8960,0.0040
4,7.2200,6.9040,0.0040
5,7.2820,6.9680,0.0000
6,7.2670,6.9520,0.0000
7,7.2300,6.9160,0.0000
8,7.2810,6.9680,0.0000
9,7.2190,6.9080,0.0000
MEAN,7.2430,6.9288,0.0008
